
	 t=-10
	 t=-9.896
-9.896	-0.000664346	1.02299e-18
-9.896	0.00896842	9.17497e-18
-9.896	-0.000803288	-4.26265e-19
-9.896	0.00411367	4.08168e-18

	 t=-9.894
-9.894	-0.000664141	9.44842e-18
-9.894	0.00897133	4.98352e-18
-9.894	-0.000803667	2.52129e-19
-9.894	0.00411568	4.1936e-19

	 t=-9.892
-9.892	-0.000663936	-2.5273e-18
-9.892	0.00897424	9.26742e-19
-9.892	-0.000804045	-4.62852e-19
-9.892	0.00411769	-2.87579e-18

	 t=-9.89
-9.89	-0.000663731	1.38772e-18
-9.89	0.00897716	5.76165e-18
-9.89	-0.000804424	-3.05652e-19
-9.89	0.0041197	1.53869e-18

	 t=-9.888
-9.888	-0.000663525	3.61546e-18
-9.888	0.00898007	5.07733e-18
-9.888	-0.000804803	-7.0344e-19
-9.888	0.00412171	6.30389e-18

	 t=-9.886
-9.886	-0.000663318	2.27387e-18
-9.886	0.00898299	4.74263e-18
-9.886	-0.000805182	5.1343e-19
-9.886	0.00412372	-3.25705e-19

	 t=-9.884
-9.884	-0.000663112	-4.27202e-18
-9.884	0.00898591	9.15676e-18
-9.884	-0.000805562	7.07239e-19
-9.884	0.00412573	4.78779e-19

	 t=-9.882
-9.882	-0.000662905	6.56446e-18
-9.882	0.00898883	6.31548e-18
-9.882	-0.000805941	-8.47673e-19
-9.882	0.00412775	2.73942e-18

	 t=-9.88
-9.88	-0.000662698	4.09839e-18
-9.88	0.00899175	-1.62783e-18
-9.88	-0.000806321	4.75963e-19
-9.88	0.00412976	3.8341e-18

	 t=-9.878
-9.878	-0.000662491	-2.73288e-18
-9.878	0.00899467	1.12701e-18
-9.878	-0.000806701	-2.03345e-18
-9.878	0.00413178	1.66594e-18

	 t=-9.876
-9.876	-0.000662283	-4.43383e-18
-9.876	0.00899759	-7.50833e-19
-9.876	-0.000807082	-1.73202e-18
-9.876	0.0041338	-9.674e-20

	 t=-9.874
-9.874	-0.000662075	-4.92889e-18
-9.874	0.00900052	1.86645e-18
-9.874	-0.000807463	-3.17264e-20
-9.874	0.00413582	1.33026e-19

	 t=-9.872
-9.872	-0.000661867	1.25135e-18
-9.872	0.00900345	1.77784e-18
-9.872	-0.000807843	5.82104e-19
-9.872	0.00413784	1.96571e-18

	 t=-9.87
-9.87	-0.000661659	7.42946e-18
-9.87	0.00900637	3.95592e-18
-9.87	-0.000808225	-2.56871e-20
-9.87	0.00413986	2.69696e-18

	 t=-9.868
-9.868	-0.00066145	-5.49477e-18
-9.868	0.0090093	5.78025e-18
-9.868	-0.000808606	5.42201e-20
-9.868	0.00414189	1.56161e-18

	 t=-9.866
-9.866	-0.000661241	1.32575e-18
-9.866	0.00901223	5.05475e-18
-9.866	-0.000808988	-1.08232e-18
-9.866	0.00414391	1.0028e-18

	 t=-9.864
-9.864	-0.000661031	4.35732e-19
-9.864	0.00901517	1.71171e-18
-9.864	-0.00080937	-8.95941e-19
-9.864	0.00414594	6.69559e-18

	 t=-9.862
-9.862	-0.000660822	-1.09244e-18
-9.862	0.0090181	2.50956e-18
-9.862	-0.000809752	-1.19039e-21
-9.862	0.00414797	-1.97561e-18

	 t=-9.86
-9.86	-0.000660612	6.17427e-19
-9.86	0.00902103	7.29566e-18
-9.86	-0.000810134	4.27017e-19
-9.86	0.00415	-4.99482e-19

	 t=-9.858
-9.858	-0.000660401	2.94916e-18
-9.858	0.00902397	1.20111e-17
-9.858	-0.000810517	1.11691e-21
-9.858	0.00415203	2.1219e-18

	 t=-9.856
-9.856	-0.000660191	-2.82022e-18
-9.856	0.00902691	3.48592e-18
-9.856	-0.000810899	-9.28821e-20
-9.856	0.00415406	8.07606e-18

	 t=-9.854
-9.854	-0.00065998	-1.09625e-18
-9.854	0.00902985	4.05559e-18
-9.854	-0.000811283	1.5232e-18
-9.854	0.00415609	-2.24068e-18

	 t=-9.852
-9.852	-0.000659769	4.86098e-18
-9.852	0.00903279	4.76551e-18
-9.852	-0.000811666	-4.3425e-19
-9.852	0.00415813	3.28684e-18

	 t=-9.85
-9.85	-0.000659557	4.06849e-18
-9.85	0.00903573	2.48022e-18
-9.85	-0.00081205	7.088e-19
-9.85	0.00416016	3.01018e-19

	 t=-9.848
-9.848	-0.000659346	7.29377e-18
-9.848	0.00903868	2.05771e-17
-9.848	-0.000812433	-4.16694e-19
-9.848	0.0041622	-3.19209e-19

	 t=-9.846
-9.846	-0.000659133	-7.21574e-18
-9.846	0.00904162	6.97976e-18
-9.846	-0.000812817	-4.0795e-19
-9.846	0.00416424	-9.39918e-19

	 t=-9.844
-9.844	-0.000658921	-4.42995e-18
-9.844	0.00904457	5.25099e-18
-9.844	-0.000813202	5.64737e-20
-9.844	0.00416628	-6.00435e-19

	 t=-9.842
-9.842	-0.000658708	-1.38915e-18
-9.842	0.00904752	7.12834e-18
-9.842	-0.000813586	-2.19756e-18
-9.842	0.00416832	3.68876e-18

	 t=-9.84
-9.84	-0.000658496	2.72397e-18
-9.84	0.00905047	5.80405e-18
-9.84	-0.000813971	-8.76641e-20
-9.84	0.00417036	1.86263e-18

	 t=-9.838
-9.838	-0.000658282	2.39694e-18
-9.838	0.00905342	-1.36957e-18
-9.838	-0.000814356	4.63141e-19
-9.838	0.00417241	1.50067e-18

	 t=-9.836
-9.836	-0.000658069	2.22897e-19
-9.836	0.00905637	3.58616e-18
-9.836	-0.000814741	-1.97154e-18
-9.836	0.00417445	-3.19959e-19

	 t=-9.834
-9.834	-0.000657855	3.78096e-18
-9.834	0.00905932	8.52051e-18
-9.834	-0.000815127	2.24752e-19
-9.834	0.0041765	4.48468e-18

	 t=-9.832
-9.832	-0.000657641	5.06808e-19
-9.832	0.00906228	2.68909e-17
-9.832	-0.000815513	-8.68839e-19
-9.832	0.00417855	6.55698e-18

	 t=-9.83
-9.83	-0.000657426	-2.09774e-18
-9.83	0.00906524	2.98801e-18
-9.83	-0.000815899	-5.01536e-19
-9.83	0.0041806	1.27559e-17

	 t=-9.828
-9.828	-0.000657212	-5.15747e-18
-9.828	0.00906819	6.15839e-18
-9.828	-0.000816285	2.43155e-19
-9.828	0.00418265	4.5894e-18

	 t=-9.826
-9.826	-0.000656997	-1.71527e-18
-9.826	0.00907115	3.21932e-18
-9.826	-0.000816672	1.87777e-20
-9.826	0.0041847	1.46305e-18

	 t=-9.824
-9.824	-0.000656781	2.42005e-18
-9.824	0.00907412	2.9646e-17
-9.824	-0.000817058	-4.46593e-19
-9.824	0.00418676	4.073e-19

	 t=-9.822
-9.822	-0.000656566	1.09612e-18
-9.822	0.00907708	4.69343e-18
-9.822	-0.000817445	-3.51416e-19
-9.822	0.00418881	7.39177e-19

	 t=-9.82
-9.82	-0.00065635	-7.11418e-19
-9.82	0.00908004	6.62721e-18
-9.82	-0.000817833	7.53414e-21
-9.82	0.00419087	1.73125e-18

	 t=-9.818
-9.818	-0.000656134	6.97768e-19
-9.818	0.00908301	8.55047e-18
-9.818	-0.00081822	3.31809e-19
-9.818	0.00419293	7.58363e-20

	 t=-9.816
-9.816	-0.000655917	2.76383e-18
-9.816	0.00908598	8.56715e-19
-9.816	-0.000818608	1.0764e-18
-9.816	0.00419498	-8.82421e-20

	 t=-9.814
-9.814	-0.0006557	4.1151e-18
-9.814	0.00908894	2.98054e-18
-9.814	-0.000818996	-1.46791e-18
-9.814	0.00419705	-2.50742e-18

	 t=-9.812
-9.812	-0.000655483	-6.9617e-19
-9.812	0.00909191	1.07327e-17
-9.812	-0.000819384	8.67251e-19
-9.812	0.00419911	1.5826e-18

	 t=-9.81
-9.81	-0.000655266	-9.24914e-19
-9.81	0.00909489	6.67909e-18
-9.81	-0.000819773	-1.27014e-18
-9.81	0.00420117	-2.66385e-18

	 t=-9.808
-9.808	-0.000655048	-1.03223e-18
-9.808	0.00909786	1.07386e-17
-9.808	-0.000820162	6.1675e-19
-9.808	0.00420324	5.27132e-19

	 t=-9.806
-9.806	-0.00065483	-3.99947e-18
-9.806	0.00910083	1.55131e-18
-9.806	-0.000820551	8.01911e-19
-9.806	0.0042053	7.91754e-18

	 t=-9.804
-9.804	-0.000654611	1.44942e-18
-9.804	0.00910381	9.16974e-18
-9.804	-0.00082094	-3.6118e-19
-9.804	0.00420737	-2.76524e-18

	 t=-9.802
-9.802	-0.000654393	7.32195e-19
-9.802	0.00910679	3.37312e-18
-9.802	-0.000821329	-2.68465e-19
-9.802	0.00420944	-3.3726e-18

	 t=-9.8
-9.8	-0.000654174	5.48768e-18
-9.8	0.00910977	7.28725e-18
-9.8	-0.000821719	2.68143e-19
-9.8	0.00421151	6.99805e-18

	 t=-9.798
-9.798	-0.000653955	6.95721e-19
-9.798	0.00911275	1.16918e-17
-9.798	-0.000822109	9.59397e-19
-9.798	0.00421358	6.43389e-18

	 t=-9.796
-9.796	-0.000653735	-7.18469e-18
-9.796	0.00911573	1.3983e-18
-9.796	-0.000822499	1.11789e-19
-9.796	0.00421565	8.6887e-18

	 t=-9.794
-9.794	-0.000653515	3.24151e-18
-9.794	0.00911871	1.04283e-17
-9.794	-0.00082289	-1.64774e-18
-9.794	0.00421773	-2.34188e-18

	 t=-9.792
-9.792	-0.000653295	-5.44298e-18
-9.792	0.0091217	1.30917e-18
-9.792	-0.00082328	1.03895e-19
-9.792	0.0042198	3.83783e-18

	 t=-9.79
-9.79	-0.000653075	-1.0492e-18
-9.79	0.00912468	1.08459e-17
-9.79	-0.000823671	3.1672e-19
-9.79	0.00422188	-8.90745e-19

	 t=-9.788
-9.788	-0.000652854	-9.94112e-19
-9.788	0.00912767	6.5825e-18
-9.788	-0.000824063	-8.05295e-19
